Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2670796,IJ-156,15909,123,0,0,1,PC,FP75614/49,0.55,427
2670124,IJ-156,15910,117,0,0,1,PC,FP75614/49,0.48,426
2670124,IJ-156,15910,87,0,0,1,PC,FP75614/49,0.48,426
2670124,IJ-156,15910,289,5,0,1,PC,FP75614/49,0.48,426
2670796,IJ-156,15909,135,0,0,1,PC,FP75614/49,0.55,426
2670124,IJ-156,15910,220,0,0,1,PC,FP75614/49,0.48,425
2670124,IJ-156,15910,365,3,0,1,PC,FP75614/49,0.48,425
2670124,IJ-156,15910,398,11,0,1,PC,FP75614/49,0.48,425
2670124,IJ-156,15910,224,0,0,1,PC,FP75614/49,0.48,424
2670124,IJ-156,15910,252,14,0,1,PC,FP75614/49,0.48,424
2670124,IJ-156,15910,389,0,0,1,PC,FP75614/49,0.48,424
2670124,IJ-156,15910,214,0,0,1,PC,FP75614/49,0.48,423
2670124,IJ-156,15910,330,5,0,1,PC,FP75614/49,0.48,423
2670124,IJ-156,15910,245,0,0,1,PC,FP75614/49,0.48,423
2670124,IJ-156,15910,138,1,0,1,PC,FP75614/49,0.48,422
2670124,IJ-156,15910,385,0,0,1,PC,FP75614/49,0.48,422
2670796,IJ-156,15909,212,0,0,1,PC,FP75614/49,0.55,422
2670796,IJ-156,15909,174,3,0,1,PC,FP75614/49,0.55,422
2670796,IJ-156,15909,1,0,0,1,PC,FP75614/49,0.55,422
2670796,IJ-156,15909,266,24,0,1,PC,FP75614/49,0.55,421
2670796,IJ-156,15909,167,0,0,1,PC,FP75614/49,0.55,420
2670796,IJ-156,15909,128,0,0,1,PC,FP75614/49,0.55,419
2670796,IJ-156,15909,290,0,0,1,PC,FP75614/49,0.55,419
2670796,IJ-156,15909,378,0,0,1,PC,FP75614/49,0.55,419
2670796,IJ-156,15909,237,0,0,1,PC,FP75614/49,0.55,418
2670796,IJ-156,15909,344,0,0,1,PC,FP75614/49,0.55,418
2670796,IJ-156,15909,370,9,0,1,PC,FP75614/49,0.55,418
2670796,IJ-156,15909,234,0,0,1,PC,FP75614/49,0.55,417
2670796,IJ-156,15909,361,1,0,1,PC,FP75614/49,0.55,417
2670796,IJ-156,15909,395,3,0,1,PC,FP75614/49,0.55,417
2670796,IJ-156,15909,92,0,0,1,PC,FP75614/49,0.55,416
2670796,IJ-156,15909,132,2,0,1,PC,FP75614/49,0.55,416
2670796,IJ-156,15909,399,5,0,1,PC,FP75614/49,0.55,416
2670796,IJ-156,15909,244,0,0,1,PC,FP75614/49,0.55,415
2670796,IJ-156,15909,344,0,0,1,PC,FP75614/49,0.55,415
2670796,IJ-156,15909,385,0,0,1,PC,FP75614/49,0.55,415
2670796,IJ-156,15909,183,0,0,1,PC,FP75614/49,0.55,413
2672507,IJ-156,15909,242,0,0,1,PC,FP75614/49,0.55,412
2672507,IJ-156,15909,348,5,0,1,PC,FP75614/49,0.55,412
2672507,IJ-156,15909,371,19,0,1,PC,FP75614/49,0.55,412
2672507,IJ-156,15909,217,0,0,1,PC,FP75614/49,0.55,411
2672507,IJ-156,15909,378,3,0,1,PC,FP75614/49,0.55,411
2672507,IJ-156,15909,386,0,0,1,PC,FP75614/49,0.55,411
2670124,IJ-156,15910,202,0,0,1,PC,FP75614/49,0.48,410
2670124,IJ-156,15910,248,4,0,1,PC,FP75614/49,0.48,410
2672507,IJ-156,15909,6,0,0,1,PC,FP75614/49,0.55,410
2672507,IJ-156,15909,373,3,0,1,PC,FP75614/49,0.55,410
2670124,IJ-156,15910,196,0,0,1,PC,FP75614/49,0.48,409
2670124,IJ-156,15910,329,0,0,1,PC,FP75614/49,0.48,409
2670124,IJ-156,15910,331,31,0,1,PC,FP75614/49,0.48,409
2670124,IJ-156,15910,200,6,0,1,PC,FP75614/49,0.48,408
2672507,IJ-156,15909,357,12,0,1,PC,FP75614/49,0.55,405
2672506,IJ-156,15910,43,0,0,1,PC,FP75614/49,0.48,405
2672506,IJ-156,15910,37,6,0,1,PC,FP75614/49,0.48,404
2672506,IJ-156,15910,46,0,0,1,PC,FP75614/49,0.48,404
2672506,IJ-156,15910,124,4,0,1,PC,FP75614/49,0.48,404
2672506,IJ-156,15910,137,0,0,1,PC,FP75614/49,0.48,403
2672506,IJ-156,15910,253,13,0,1,PC,FP75614/49,0.48,403
2672506,IJ-156,15910,302,79,0,1,PC,FP75614/49,0.48,403
2672506,IJ-156,15910,353,0,0,1,PC,FP75614/49,0.48,402
2672504,IJ-156,15911,115,0,0,1,PC,FP75614/56,1.895,402
2672504,IJ-156,15911,84,4,0,1,PC,FP75614/56,1.895,402
2672507,IJ-156,15909,127,0,0,1,PC,FP75614/49,0.55,401
2672507,IJ-156,15909,217,0,0,1,PC,FP75614/49,0.55,401
2672504,IJ-156,15911,99,0,0,1,PC,FP75614/56,1.895,401
2672504,IJ-156,15911,221,0,0,1,PC,FP75614/56,1.895,401
2672507,IJ-156,15909,318,0,0,1,PC,FP75614/49,0.55,400
2672507,IJ-156,15909,150,0,0,1,PC,FP75614/49,0.55,399
2672507,IJ-156,15909,202,0,0,1,PC,FP75614/49,0.55,398
2672507,IJ-156,15909,260,2,0,1,PC,FP75614/49,0.55,398
2672507,IJ-156,15909,388,0,0,1,PC,FP75614/49,0.55,398
2672507,IJ-156,15909,216,0,0,1,PC,FP75614/49,0.55,397
2672507,IJ-156,15909,311,7,0,1,PC,FP75614/49,0.55,397
2672507,IJ-156,15909,362,19,0,1,PC,FP75614/49,0.55,397
2672507,IJ-156,15909,194,0,0,1,PC,FP75614/49,0.55,396
2672507,IJ-156,15909,245,5,0,1,PC,FP75614/49,0.55,396
2672507,IJ-156,15909,325,0,0,1,PC,FP75614/49,0.55,396
2672507,IJ-156,15909,114,0,0,1,PC,FP75614/49,0.55,395
2672507,IJ-156,15909,320,85,0,1,PC,FP75614/49,0.55,395
2672506,IJ-156,15910,190,0,0,1,PC,FP75614/49,0.48,395
2672506,IJ-156,15910,24,7,0,1,PC,FP75614/49,0.48,395
2672506,IJ-156,15910,86,0,0,1,PC,FP75614/49,0.48,394
2672506,IJ-156,15910,89,0,0,1,PC,FP75614/49,0.48,394
2672506,IJ-156,15910,277,0,0,1,PC,FP75614/49,0.48,394
2672506,IJ-156,15910,242,20,0,1,PC,FP75614/49,0.48,393
2672506,IJ-156,15910,104,0,0,1,PC,FP75614/49,0.48,392
2672506,IJ-156,15910,192,0,0,1,PC,FP75614/49,0.48,391
2672506,IJ-156,15910,250,8,0,1,PC,FP75614/49,0.48,391
2672506,IJ-156,15910,388,7,0,1,PC,FP75614/49,0.48,391
2672506,IJ-156,15910,161,0,0,1,PC,FP75614/49,0.48,390
2672506,IJ-156,15910,299,6,0,1,PC,FP75614/49,0.48,390
2672506,IJ-156,15910,323,18,0,1,PC,FP75614/49,0.48,390
2672507,IJ-156,15909,192,0,0,1,PC,FP75614/49,0.55,389
2672507,IJ-156,15909,275,6,0,1,PC,FP75614/49,0.55,389
2672506,IJ-156,15910,301,0,0,1,PC,FP75614/49,0.48,389
2672507,IJ-156,15909,157,0,0,1,PC,FP75614/49,0.55,388
2672507,IJ-156,15909,319,3,0,1,PC,FP75614/49,0.55,388
2672507,IJ-156,15909,297,27,0,1,PC,FP75614/49,0.55,388
2672507,IJ-156,15909,181,0,0,1,PC,FP75614/49,0.55,387
2672507,IJ-156,15909,237,6,0,1,PC,FP75614/49,0.55,387
2672507,IJ-156,15909,238,5,0,1,PC,FP75614/49,0.55,387
2672507,IJ-156,15909,282,9,0,1,PC,FP75614/49,0.55,386
2672507,IJ-156,15909,253,0,0,1,PC,FP75614/49,0.55,384
2672507,IJ-156,15909,60,0,0,1,PC,FP75614/49,0.55,384
2672507,IJ-156,15909,200,11,0,1,PC,FP75614/49,0.55,384
2672507,IJ-156,15909,15,0,0,1,PC,FP75614/49,0.55,383
2672507,IJ-156,15909,378,9,0,1,PC,FP75614/49,0.55,383
2674527,IJ-156,15909,211,0,0,1,PC,FP75614/49,0.55,383
2674527,IJ-156,15909,62,0,0,1,PC,FP75614/49,0.55,383
2674934,IJ-156,15910,6,0,0,1,PC,FP75614/49,0.48,383
2674527,IJ-156,15909,201,0,0,1,PC,FP75614/49,0.55,382
